index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
428,道1,2,核心詞,491,164,655,ㄉㄠˋ,dào
429,大人,2,核心詞,148,96,244,ㄉㄚˋ ㄖㄣˊ ,dàrén  
430,地2,2,核心詞,2854,1161,4015,˙ㄉㄜ,de
431,地1,2,核心詞,2854,1161,4015,ㄉㄧˋ,dì
432,電,2,核心詞,25,123,148,ㄉㄧㄢˋ,diàn
433,第一,2,核心詞,698,863,1561,ㄉㄧˋ ㄧ ,dìyī  
434,冬天/冬,2,核心詞,65,168,233,ㄉㄨㄥ ㄊㄧㄢ / ㄉㄨㄥ,dōngtiān / dōng 
435,方法,2,8.教育、學習,401,287,688,ㄈㄤ ㄈㄚˇ,fāngfǎ 
436,放,2,核心詞,347,470,817,ㄈㄤˋ,fàng
437,發現,2,核心詞,734,657,1391,ㄈㄚ ㄒㄧㄢˋ,fāxiàn
438,份,2,核心詞,198,204,402,ㄈㄣˋ,fèn
439,乾淨,2,核心詞,49,159,208,ㄍㄢ ㄐㄧㄥˋ,gānjìng 
440,敢,2,核心詞,277,151,428,ㄍㄢˇ,gǎn
441,剛剛/剛,2,核心詞,311,924,1235,ㄍㄤ ㄍㄤ ,gānggāng / gāng
442,高興,2,核心詞,186,161,347,ㄍㄠ ㄒㄧㄥˋ,gāoxìng 
443,高中,2,1.個人資料,56,43,99,ㄍㄠ ㄓㄨㄥ,gāozhōng
444,各,2,核心詞,889,762,1651,ㄍㄜˋ,gè
445,更1,2,核心詞,1457,1320,2777,ㄍㄥˋ,gèng
446,公司,2,3.職業,680,169,849,ㄍㄨㄥ ㄙ,gōngsī 
447,狗,2,1.個人資料,184,80,264,ㄍㄡˇ,gǒu
448,故事,2,4.休閒、娛樂,404,338,742,ㄍㄨˋ ㄕˋ,gùshì
449,海,2,核心詞,108,237,345,ㄏㄞˇ,hǎi
450,行2,2,8.教育、學習,226,190,416,ㄏㄤˊ,háng
451,好像,2,核心詞,259,660,919,ㄏㄠˇ ㄒㄧㄤˋ,hǎoxiàng 
452,後來,2,核心詞,418,501,919,ㄏㄡˋ ㄌㄞˊ,hòulái 
453,還2,2,核心詞,2505,3842,6347,ㄏㄨㄢˊ,huán
454,黃,2,核心詞,89,78,167,ㄏㄨㄤˊ,huáng
455,歡迎,2,6.社交、人際,71,294,365,ㄏㄨㄢ ㄧㄥˊ,huānyíng 
456,回,2,核心詞,373,215,588,ㄏㄨㄟˊ,huí
457,回到,2,核心詞,248,208,456,ㄏㄨㄟˊ ㄉㄠˋ,huídào 
458,活動,2,4.休閒、娛樂,310,303,613,ㄏㄨㄛˊ ㄉㄨㄥˋ,huódòng 
459,火,2,核心詞,96,105,201,ㄏㄨㄛˇ  ,huǒ  
460,或是,2,核心詞,303,554,857,ㄏㄨㄛˋ ㄕˋ,huòshì 
461,加,2,核心詞,110,185,295,ㄐㄧㄚ,jiā   
462,間1,2,核心詞,400,316,716,ㄐㄧㄢ ,jiān 
463,簡單,2,核心詞,212,339,551,ㄐㄧㄢˇ ㄉㄢ,jiǎndān 
464,健康,2,7.身體、醫療,224,401,625,ㄐㄧㄢˋ ㄎㄤ ,jiànkāng  
465,講,2,核心詞,268,1564,1832,ㄐㄧㄤˇ,jiǎng
466,家庭,2,1.個人資料,250,305,555,ㄐㄧㄚ ㄊㄧㄥˊ,jiātíng 
467,記得,2,核心詞,215,220,435,ㄐㄧˋ ˙ㄉㄜ,jìde 
468,接,2,核心詞,78,88,166,ㄐㄧㄝ,jiē
469,計畫/計劃,2,核心詞,286,228,514,ㄐㄧˋ ㄏㄨㄚˋ  ,jìhuà
470,機會,2,核心詞,326,364,690,ㄐㄧ ㄏㄨㄟˋ,jīhuì 
471,近,2,核心詞,146,108,254,ㄐㄧㄣˋ,jìn
472,進步,2,3.職業,79,93,172,ㄐㄧㄣˋ ㄅㄨˋ,jìnbù 
473,經過,2,核心詞,270,364,634,ㄐㄧㄥ ㄍㄨㄛˋ,jīngguò 
