index,word,levelNumber,context,writtenFrequencyPerMillion,spokenFrequencyPerMillion,frequencyPerMillion,zhuyin,pinyin
2321,寧願,4.5,核心詞,18,10,28,ㄋㄧㄥˊ ㄩㄢˋ,níng yuàn
2322,弄錯,4.5,核心詞,7,2,9,ㄋㄨㄥˋ ㄘㄨㄛˋ,nòng cuò
2323,農藥,4.5,13.自然環境,4,162,166,ㄋㄨㄥˊ ㄧㄠˋ,nóng yào
2324,女士,4.5,核心詞,82,19,101,ㄋㄩˇ ㄕˋ,nǚ shì
2325,女子,4.5,核心詞,82,14,96,ㄋㄩˇ ㄗˇ,nǚ zǐ
2326,暖和,4.5,5.交通、旅遊,7,4,11,ㄋㄨㄢˇ ˙ㄏㄨㄛ,nuǎn huo
2327,偶爾/偶而,4.5,核心詞,73,38,111,ㄡˇ ㄦˇ/ㄡˇ ㄦˊ,ǒu ěr/ǒu ér
2328,排球,4.5,4.休閒、娛樂,2,1,3,ㄆㄞˊ ㄑㄧㄡˊ,pái qiú
2329,拍手,4.5,核心詞,7,7,14,ㄆㄞ ㄕㄡˇ,pāi shǒu
2330,配合,4.5,核心詞,66,73,139,ㄆㄟˋ ㄏㄜˊ,pèi hé
2331,碰面,4.5,6.社交、人際,12,4,16,ㄆㄥˋ ㄇㄧㄢˋ,pèng miàn
2332,匹1,4.5,核心詞,42,12,54,ㄆㄧ,pī
2333,皮帶,4.5,2.日常起居,8,6,14,ㄆㄧˊ ㄉㄞˋ,pí dài
2334,批評,4.5,核心詞,86,25,111,ㄆㄧ ㄆㄧㄥˊ,pī píng
2335,脾氣,4.5,1.個人資料,35,22,57,ㄆㄧˊ ㄑㄧˋ,pí qì
2336,騙人,4.5,12.安全,6,6,12,ㄆㄧㄢˋ ㄖㄣˊ,piàn rén
2337,騙子,4.5,12.安全,9,3,12,ㄆㄧㄢˋ ˙ㄗ,piàn zi
2338,品牌,4.5,9.購物、商店,104,29,133,ㄆㄧㄣˇ ㄆㄞˊ,pǐn pái
2339,平,4.5,核心詞,18,48,66,ㄆㄧㄥˊ,píng
2340,平靜,4.5,核心詞,53,30,83,ㄆㄧㄥˊ ㄐㄧㄥˋ,píng jìng
2341,乒乓球,4.5,4.休閒、娛樂,2,2,4,ㄆㄧㄥ ㄆㄤ ㄑㄧㄡˊ,pīng pāng qiú
2342,婆婆,4.5,1.個人資料,34,46,80,ㄆㄛˊ ˙ㄆㄛ,pó po
2343,期待,4.5,核心詞,92,110,202,ㄑㄧˊ ㄉㄞˋ,qí dài
2344,氣氛,4.5,核心詞,61,48,109,ㄑㄧˋ ㄈㄣ,qì fēn
2345,氣功,4.5,15.文化,6,3,9,ㄑㄧˋ ㄍㄨㄥ,qì gōng
2346,期間,4.5,核心詞,110,72,182,ㄑㄧˊ ㄐㄧㄢ,qí jiān
2347,期望,4.5,核心詞,51,36,87,ㄑㄧˊ ㄨㄤˋ,qí wàng
2348,氣象,4.5,5.交通、旅遊,10,63,73,ㄑㄧˋ ㄒㄧㄤˋ,qì xiàng
2349,企業,4.5,3.職業,310,61,371,ㄑㄧˋ ㄧㄝˋ,qì yè
2350,旗子,4.5,2.日常起居,3,5,8,ㄑㄧˊ ˙ㄗ,qí zi
2351,妻子/妻,4.5,1.個人資料,196,29,225,ㄑㄧ ˙ㄗ / ㄑㄧ,qī zi / qī
2352,前進,4.5,核心詞,62,32,94,ㄑㄧㄢˊ ㄐㄧㄣˋ,qián jìn
2353,千萬,4.5,核心詞,59,48,107,ㄑㄧㄢ ㄨㄢˋ,qiān wàn
2354,強大,4.5,核心詞,52,24,76,ㄑㄧㄤˊ ㄉㄚˋ,qiáng dà
2355,敲,4.5,核心詞,34,18,52,ㄑㄧㄠ,qiāo
2356,親愛,4.5,核心詞,44,11,55,ㄑㄧㄣ ㄞˋ,qīn ài
2357,親密,4.5,6.社交、人際,46,10,56,ㄑㄧㄣ ㄇㄧˋ,qīn mì
2358,親人,4.5,1.個人資料,23,34,57,ㄑㄧㄣ ㄖㄣˊ,qīn rén
2359,清,4.5,核心詞,114,56,170,ㄑㄧㄥ,qīng
2360,請教,4.5,核心詞,23,70,93,ㄑㄧㄥˇ ㄐㄧㄠˋ,qǐng jiào
2361,青年,4.5,14.社會,77,68,145,ㄑㄧㄥ ㄋㄧㄢˊ,qīng nián
2362,清早,4.5,核心詞,5,2,7,ㄑㄧㄥ ㄗㄠˇ,qīng zǎo
2363,求,4.5,核心詞,110,79,189,ㄑㄧㄡˊ,qiú
2364,取,4.5,核心詞,84,68,152,ㄑㄩˇ,qǔ
2365,區域,4.5,2.日常起居,57,96,153,ㄑㄩ ㄩˋ,qū yù
2366,勸,4.5,核心詞,45,13,58,ㄑㄩㄢˋ,quàn
2367,缺點,4.5,核心詞,40,19,59,ㄑㄩㄝ ㄉㄧㄢˇ,quē diǎn
2368,熱量,4.5,10.餐飲、烹飪,11,31,42,ㄖㄜˋ ㄌㄧㄤˋ,rè liàng
2369,忍,4.5,核心詞,25,21,46,ㄖㄣˇ,rěn
2370,認得,4.5,核心詞,20,7,27,ㄖㄣˋ ˙ㄉㄜ,rèn de
2371,任何,4.5,核心詞,510,214,724,ㄖㄣˋ ㄏㄜˊ,rèn hé
2372,人家1,4.5,2.日常起居,110,436,546,ㄖㄣˊ ㄐㄧㄚ,rén jiā
2373,人類,4.5,核心詞,292,279,571,ㄖㄣˊ ㄌㄟˋ,rén lèi
2374,人們,4.5,核心詞,311,70,381,ㄖㄣˊ ˙ㄇㄣ,rén men
2375,人民,4.5,1.個人資料,114,126,240,ㄖㄣˊ ㄇㄧㄣˊ,rén mín
2376,人生,4.5,核心詞,261,271,532,ㄖㄣˊ ㄕㄥ,rén shēng
2377,任務,4.5,核心詞,90,92,182,ㄖㄣˋ ㄨˋ,rèn wù
2378,扔,4.5,核心詞,14,4,18,ㄖㄥ,rēng
2379,日常,4.5,核心詞,79,53,132,ㄖˋ ㄔㄤˊ,rì cháng
2380,日出,4.5,核心詞,7,7,14,ㄖˋ ㄔㄨ,rì chū
2381,肉類,4.5,10.餐飲、烹飪,5,8,13,ㄖㄡˋㄌㄟˋ,ròu lèi
2382,入,4.5,核心詞,106,119,225,ㄖㄨˋ,rù
2383,如今,4.5,核心詞,121,77,198,ㄖㄨˊ ㄐㄧㄣ,rú jīn
2384,入境,4.5,5.交通、旅遊,4,12,16,ㄖㄨˋ ㄐㄧㄥˋ,rù jìng
2385,弱,4.5,核心詞,39,29,68,ㄖㄨㄛˋ,ruò
2386,若是,4.5,核心詞,68,13,81,ㄖㄨㄛˋ ㄕˋ,ruò shì
2387,賽跑,4.5,4.休閒、娛樂,6,7,13,ㄙㄞˋ ㄆㄠˇ,sài pǎo
2388,三角形,4.5,核心詞,9,6,15,ㄙㄢ ㄐㄧㄠˇ ㄒㄧㄥˊ,sān jiǎo xíng
2389,掃把,4.5,2.日常起居,4,7,11,ㄙㄠˋ ㄅㄚˇ,sào bǎ
2390,嫂嫂,4.5,核心詞,7,2,9,ㄙㄠˇ ˙ㄙㄠ,sǎo sao
2391,色彩,4.5,核心詞,40,32,72,ㄙㄜˋ ㄘㄞˇ,sè cǎi
2392,沙,4.5,核心詞,25,53,78,ㄕㄚ,shā
2393,沙灘,4.5,4.休閒、娛樂,13,17,30,ㄕㄚ ㄊㄢ,shā tān
2394,沙子,4.5,13.自然環境,6,17,23,ㄕㄚ ˙ㄗ,shā zi
2395,上帝,4.5,15.文化,96,17,113,ㄕㄤˋ ㄉㄧˋ,shàng dì
2396,傷害,4.5,12.安全,99,93,192,ㄕㄤ ㄏㄞˋ,shāng hài
2397,上街,4.5,核心詞,5,8,13,ㄕㄤˋ ㄐㄧㄝ,shàng jiē
2398,傷心,4.5,核心詞,39,23,62,ㄕㄤ ㄒㄧㄣ,shāng xīn
2399,少年,4.5,1.個人資料,62,15,77,ㄕㄠˋ ㄋㄧㄢˊ,shào nián
2400,少女,4.5,1.個人資料,33,7,40,ㄕㄠˋ ㄋㄩˇ,shào nǚ
2401,設計,4.5,3.職業,269,206,475,ㄕㄜˋ ㄐㄧˋ,shè jì
2402,社區,4.5,8.教育、學習,122,243,365,ㄕㄜˋ ㄑㄩ,shè qū
2403,身,4.5,7.身體、醫療,456,280,736,ㄕㄣ,shēn
2404,伸,4.5,7.身體、醫療,22,7,29,ㄕㄣ,shēn
2405,身材,4.5,7.身體、醫療,33,10,43,ㄕㄣ ㄘㄞˊ,shēn cái
2406,身分/身份,4.5,3.職業,84,45,129,ㄕㄣ ㄈㄣˋ,shēn fèn
2407,深刻,4.5,核心詞,65,80,145,ㄕㄣ ㄎㄜˋ,shēn kè
2408,深夜,4.5,核心詞,19,6,25,ㄕㄣ ㄧㄝˋ,shēn yè
2409,甚至,4.5,核心詞,491,370,861,ㄕㄣˋ ㄓˋ,shèn zhì
2410,生產,4.5,3.職業,125,164,289,ㄕㄥ ㄔㄢˇ,shēng chǎn
2411,升級,4.5,3.職業,6,5,11,ㄕㄥ ㄐㄧˊ,shēng jí
2412,勝利,4.5,4.休閒、娛樂,60,10,70,ㄕㄥˋ ㄌㄧˋ,shèng lì
2413,生命,4.5,核心詞,381,370,751,ㄕㄥ ㄇㄧㄥˋ,shēng mìng
2414,生肖,4.5,核心詞,2,3,5,ㄕㄥ ㄒㄧㄠˋ,shēng xiào
2415,生長,4.5,13.自然環境,42,124,166,ㄕㄥ ㄓㄤˇ,shēng zhǎng
2416,時代,4.5,核心詞,275,151,426,ㄕˊ ㄉㄞˋ,shí dài
2417,適當,4.5,核心詞,77,35,112,ㄕˋ ㄉㄤˋ,shì dàng
2418,實際,4.5,8.教育、學習,190,197,387,ㄕˊ ㄐㄧˋ,shí jì
2419,失戀,4.5,6.社交、人際,5,2,7,ㄕ ㄌㄧㄢˋ,shī liàn
2420,室內,4.5,2.日常起居,0,0,0,ㄕˋ ㄋㄟˋ,shì nèi
2421,時期,4.5,核心詞,149,105,254,ㄕˊ ㄑㄧˊ,shí qí
2422,室外,4.5,2.日常起居,0,0,0,ㄕˋ ㄨㄞˋ,shì wài
2423,失望,4.5,16.情緒、態度,52,24,76,ㄕ ㄨㄤˋ,shī wàng
2424,實現,4.5,8.教育、學習,91,34,125,ㄕˊ ㄒㄧㄢˋ,shí xiàn
2425,事業,4.5,3.職業,130,64,194,ㄕˋ ㄧㄝˋ,shì yè
2426,適應,4.5,核心詞,70,56,126,ㄕˋ ㄧㄥˋ,shì yìng
2427,實用,4.5,核心詞,27,21,48,ㄕˊ ㄩㄥˋ,shí yòng
2428,首,4.5,核心詞,143,113,256,ㄕㄡˇ,shǒu
2429,受得了,4.5,核心詞,3,3,6,ㄕㄡˋ ˙ㄉㄜ ㄌㄧㄠˇ,shòu de liǎo
2430,收費,4.5,2.日常起居,6,6,12,ㄕㄡ ㄈㄟˋ,shōu fèi
2431,收集,4.5,8.教育、學習,25,66,91,ㄕㄡ ㄐㄧˊ,shōu jí
2432,受騙,4.5,12.安全,5,2,7,ㄕㄡˋ ㄆㄧㄢˋ,shòu piàn
2433,手術,4.5,7.身體、醫療,53,61,114,ㄕㄡˇ ㄕㄨˋ,shǒu shù
2434,熟悉,4.5,核心詞,77,53,130,ㄕㄡˊ ㄒㄧ,shóu xī
2435,叔父,4.5,1.個人資料,10,0,10,ㄕㄨˊ ㄈㄨˋ,shú fù
2436,數學,4.5,8.教育、學習,76,41,117,ㄕㄨˋ ㄒㄩㄝˊ,shù xué
2437,梳子,4.5,2.日常起居,5,0,5,ㄕㄨ ˙ㄗ,shū zi
2438,帥哥,4.5,核心詞,3,3,6,ㄕㄨㄞˋ ㄍㄜ,shuài gē
2439,雙方,4.5,14.社會,81,65,146,ㄕㄨㄤ ㄈㄤ,shuāng fāng
2440,睡眠,4.5,7.身體、醫療,71,40,111,ㄕㄨㄟˋ ㄇㄧㄢˊ,shuì mián
2441,說不定,4.5,核心詞,47,28,75,ㄕㄨㄛ ㄅㄨˊ ㄉㄧㄥˋ,shuō bú dìng
2442,絲,4.5,核心詞,60,34,94,ㄙ,sī
2443,四處,4.5,核心詞,49,26,75,ㄙˋ ㄔㄨˋ,sì chù
2444,思考,4.5,核心詞,257,99,356,ㄙ ㄎㄠˇ,sī kǎo
2445,死亡,4.5,7.身體、醫療,118,151,269,ㄙˇ ㄨㄤˊ,sǐ wáng
2446,四周,4.5,核心詞,53,17,70,ㄙˋ ㄓㄡ,sì zhōu
2447,蒜,4.5,10.餐飲、烹飪,4,7,11,ㄙㄨㄢˋ,suàn
2448,算了,4.5,核心詞,20,17,37,ㄙㄨㄢˋ ˙ㄌㄜ,suàn le
2449,算是,4.5,核心詞,79,122,201,ㄙㄨㄢˋ ㄕˋ,suàn shì
2450,縮水,4.5,9.購物、商店,2,4,6,ㄙㄨㄛ ㄕㄨㄟˇ,suō shuǐ
2451,抬/擡,4.5,核心詞,36,25,61,ㄊㄞˊ,tái
2452,太極拳,4.5,4.休閒、娛樂,2,4,6,ㄊㄞˋ ㄐㄧˊ ㄑㄩㄢˊ,tài jí quán
2453,彈,4.5,4.休閒、娛樂,49,31,80,ㄊㄢˊ,tán
2454,攤販,4.5,9.購物、商店,4,7,11,ㄊㄢ ㄈㄢˋ,tān fàn
2455,談戀愛,4.5,6.社交、人際,6,7,13,ㄊㄢˊ ㄌㄧㄢˋ ㄞˋ,tán liàn ài
2456,攤位,4.5,9.購物、商店,6,10,16,ㄊㄢ ㄨㄟˋ,tān wèi
2457,湯圓,4.5,10.餐飲、烹飪,4,8,12,ㄊㄤ ㄩㄢˊ,tāng yuán
2458,逃,4.5,12.安全,37,16,53,ㄊㄠˊ,táo
2459,特點,4.5,核心詞,22,12,34,ㄊㄜˋ ㄉㄧㄢˇ,tè diǎn
2460,特性,4.5,核心詞,47,43,90,ㄊㄜˋ ㄒㄧㄥˋ,tè xìng
2461,疼,4.5,核心詞,16,23,39,ㄊㄥˊ,téng
2462,提高,4.5,核心詞,81,61,142,ㄊㄧˊ ㄍㄠ,tí gāo
2463,提供,4.5,核心詞,279,186,465,ㄊㄧˊ ㄍㄨㄥ,tí gōng
2464,體重,4.5,7.身體、醫療,45,26,71,ㄊㄧˇ ㄓㄨㄥˋ,tǐ zhòng
2465,梯子,4.5,2.日常起居,6,1,7,ㄊㄧ ˙ㄗ,tī zi
2466,田,4.5,核心詞,53,307,360,ㄊㄧㄢˊ,tián
2467,天空,4.5,13.自然環境,63,25,88,ㄊㄧㄢ ㄎㄨㄥ,tiān kōng
2468,天生,4.5,核心詞,49,19,68,ㄊㄧㄢ ㄕㄥ,tiān shēng
2469,挑戰,4.5,核心詞,123,101,224,ㄊㄧㄠˇ ㄓㄢˋ,tiǎo zhàn
2470,調整,4.5,核心詞,73,55,128,ㄊㄧㄠˊ ㄓㄥˇ,tiáo zhěng
2471,鐵,4.5,核心詞,42,50,92,ㄊㄧㄝˇ,tiě
2472,聽話,4.5,核心詞,18,5,23,ㄊㄧㄥ ㄏㄨㄚˋ,tīng huà
2473,通,4.5,核心詞,62,39,101,ㄊㄨㄥ,tōng
2474,童年,4.5,1.個人資料,50,28,78,ㄊㄨㄥˊ ㄋㄧㄢˊ,tóng nián
2475,同情,4.5,核心詞,47,7,54,ㄊㄨㄥˊ ㄑㄧㄥˊ,tóng qíng
2476,統一,4.5,8.教育、學習,60,28,88,ㄊㄨㄥˇ ㄧ,tǒng yī
2477,投資,4.5,3.職業,118,57,175,ㄊㄡˊ ㄗ,tóu zī
2478,吐1,4.5,核心詞,45,26,71,ㄊㄨˋ,tù
2479,吐2,4.5,核心詞,45,26,71,ㄊㄨˇ,tǔ
2480,圖畫,4.5,核心詞,10,5,15,ㄊㄨˊ ㄏㄨㄚˋ,tú huà
2481,圖書,4.5,8.教育、學習,21,4,25,ㄊㄨˊ ㄕㄨ,tú shū
2482,兔子/兔,4.5,1.個人資料,32,10,42,ㄊㄨˋ ˙ㄗ/ㄊㄨˋ,tù zi/tù
2483,團,4.5,核心詞,51,30,81,ㄊㄨㄢˊ,tuán
2484,團隊,4.5,3.職業,73,96,169,ㄊㄨㄢˊ ㄉㄨㄟˋ,tuán duì
2485,退,4.5,9.購物、商店,43,40,83,ㄊㄨㄟˋ,tuì
2486,推動,4.5,3.職業,55,98,153,ㄊㄨㄟ ㄉㄨㄥˋ,tuī dòng
2487,挖,4.5,核心詞,38,58,96,ㄨㄚ,wā
2488,娃娃,4.5,核心詞,19,23,42,ㄨㄚˊ ˙ㄨㄚ,wá wa
2489,外表,4.5,1.個人資料,33,17,50,ㄨㄞˋ ㄅㄧㄠˇ,wài biǎo
2490,完成,4.5,核心詞,205,193,398,ㄨㄢˊ ㄔㄥˊ,wán chéng
2491,完美,4.5,核心詞,67,35,102,ㄨㄢˊ ㄇㄟˇ,wán měi
2492,完整,4.5,核心詞,69,69,138,ㄨㄢˊ ㄓㄥˇ,wán zhěng
2493,王,4.5,15.文化,111,79,190,ㄨㄤˊ,wáng
2494,往往,4.5,核心詞,165,52,217,ㄨㄤˇ ㄨㄤˇ,wǎng wǎng
2495,餵,4.5,2.日常起居,41,39,80,ㄨㄟˋ,wèi
2496,為1,4.5,核心詞,2687,1519,4206,ㄨㄟˋ,wèi
2497,危機,4.5,核心詞,78,153,231,ㄨㄟˊ ㄐㄧ,wéi jī
2498,微笑,4.5,核心詞,92,23,115,ㄨㄟˊ ㄒㄧㄠˋ,wéi xiào
2499,位置,4.5,2.日常起居,110,128,238,ㄨㄟˋ ㄓˋ,wèi zhì
2500,溫,4.5,核心詞,10,46,56,ㄨㄣ,wēn
2501,穩定,4.5,7.身體、醫療,74,124,198,ㄨㄣˇ ㄉㄧㄥˋ,wěn dìng
2502,問號,4.5,8.教育、學習,3,3,6,ㄨㄣˋ ㄏㄠˋ,wèn hào
2503,文件,4.5,8.教育、學習,50,8,58,ㄨㄣˊ ㄐㄧㄢˋ,wén jiàn
2504,文學,4.5,8.教育、學習,100,22,122,ㄨㄣˊ ㄒㄩㄝˊ,wén xué
2505,握,4.5,核心詞,46,13,59,ㄨㄛˋ,wò
2506,握手,4.5,6.社交、人際,18,9,27,ㄨㄛˋ ㄕㄡˇ,wò shǒu
2507,誤點,4.5,5.交通、旅遊,2,1,3,ㄨˋ ㄉㄧㄢˇ,wù diǎn
2508,吸,4.5,10.餐飲、烹飪,36,34,70,ㄒㄧ,xī
2509,喜酒,4.5,15.文化,2,2,4,ㄒㄧˇ ㄐㄧㄡˇ,xǐ jiǔ
2510,喜事,4.5,15.文化,4,1,5,ㄒㄧˇ ㄕˋ,xǐ shì
2511,吸收,4.5,7.身體、醫療,39,81,120,ㄒㄧ ㄕㄡ,xī shōu
2512,喜帖,4.5,15.文化,1,2,3,ㄒㄧˇ ㄊㄧㄝˇ,xǐ tiě
2513,吸菸,4.5,2.日常起居,6,2,8,ㄒㄧ ㄧㄢ,xī yān
2514,西元,4.5,核心詞,47,55,102,ㄒㄧ ㄩㄢˊ,xī yuán
2515,西裝,4.5,9.購物、商店,17,7,24,ㄒㄧ ㄓㄨㄤ,xī zhuāng
2516,下棋,4.5,4.休閒、娛樂,9,7,16,ㄒㄧㄚˋ ㄑㄧˊ,xià qí
2517,嚇一跳,4.5,16.情緒、態度,5,4,9,ㄒㄧㄚˋ ㄧˊ ㄊㄧㄠˋ,xià yí tiào
2518,現場,4.5,12.安全,49,166,215,ㄒㄧㄢˋ ㄔㄤˇ,xiàn chǎng
2519,現實,4.5,核心詞,121,29,150,ㄒㄧㄢˋ ㄕˊ,xiàn shí
2520,現象,4.5,核心詞,188,161,349,ㄒㄧㄢˋ ㄒㄧㄤˋ,xiàn xiàng
2521,限制/限,4.5,核心詞,85,58,143,ㄒㄧㄢˋ ㄓˋ/ㄒㄧㄢˋ,xiàn zhì/xiàn
2522,響,4.5,2.日常起居,56,21,77,ㄒㄧㄤˇ,xiǎng
2523,相處,4.5,6.社交、人際,59,69,128,ㄒㄧㄤ ㄔㄨˇ,xiāng chǔ
2524,鄉村,4.5,2.日常起居,17,18,35,ㄒㄧㄤ ㄘㄨㄣ,xiāng cūn
2525,相關,4.5,核心詞,145,76,221,ㄒㄧㄤ ㄍㄨㄢ,xiāng guān
2526,詳細,4.5,核心詞,51,28,79,ㄒㄧㄤˊ ㄒㄧˋ,xiáng xì
2527,想像力,4.5,核心詞,29,7,36,ㄒㄧㄤˇ ㄒㄧㄤˋ ㄌㄧˋ,xiǎng xiàng lì
2528,曉得,4.5,核心詞,79,107,186,ㄒㄧㄠˇ ˙ㄉㄜ,xiǎo de
2529,小販,4.5,9.購物、商店,6,3,9,ㄒㄧㄠˇ ㄈㄢˋ,xiǎo fàn
2530,效果,4.5,7.身體、醫療,155,124,279,ㄒㄧㄠˋ ㄍㄨㄛˇ,xiào guǒ
2531,笑話,4.5,核心詞,25,12,37,ㄒㄧㄠˋ ㄏㄨㄚˋ,xiào huà
2532,效率,4.5,核心詞,57,38,95,ㄒㄧㄠˋ ㄌㄩˋ,xiào lǜ
2533,小氣,4.5,核心詞,3,3,6,ㄒㄧㄠˇ ㄑㄧˋ,xiǎo qì
2534,笑容,4.5,核心詞,45,36,81,ㄒㄧㄠˋ ㄖㄨㄥˊ,xiào róng
2535,消失,4.5,核心詞,109,68,177,ㄒㄧㄠ ㄕ,xiāo shī
2536,小提琴,4.5,4.休閒、娛樂,12,9,21,ㄒㄧㄠˇ ㄊㄧˊ ㄑㄧㄣˊ,xiǎo tí qín
2537,血型,4.5,7.身體、醫療,2,1,3,ㄒㄧㄝˇ ㄒㄧㄥˊ,xiě xíng
2538,協助,4.5,核心詞,124,115,239,ㄒㄧㄝˊ ㄓㄨˋ,xié zhù
2539,寫作,4.5,8.教育、學習,66,12,78,ㄒㄧㄝˇ ㄗㄨㄛˋ,xiě zuò
2540,信件,4.5,11.公共服務,18,4,22,ㄒㄧㄣˋ ㄐㄧㄢˋ,xìn jiàn
2541,信任,4.5,核心詞,80,43,123,ㄒㄧㄣˋ ㄖㄣˋ,xìn rèn
2542,欣賞,4.5,4.休閒、娛樂,73,41,114,ㄒㄧㄣ ㄕㄤˇ,xīn shǎng
2543,性別,4.5,14.社會,39,7,46,ㄒㄧㄥˋ ㄅㄧㄝˊ,xìng bié
2544,幸福,4.5,核心詞,115,203,318,ㄒㄧㄥˋ ㄈㄨˊ,xìng fú
2545,性格,4.5,1.個人資料,78,16,94,ㄒㄧㄥˋ ㄍㄜˊ,xìng gé
2546,幸好,4.5,核心詞,25,28,53,ㄒㄧㄥˋ ㄏㄠˇ,xìng hǎo
2547,幸虧,4.5,核心詞,10,3,13,ㄒㄧㄥˋ ㄎㄨㄟ,xìng kuī
2548,形容,4.5,核心詞,49,48,97,ㄒㄧㄥˊ ㄖㄨㄥˊ,xíng róng
2549,形容詞,4.5,8.教育、學習,6,3,9,ㄒㄧㄥˊ ㄖㄨㄥˊ ㄘˊ,xíng róng cí
2550,形狀,4.5,9.購物、商店,42,42,84,ㄒㄧㄥˊ ㄓㄨㄤˋ,xíng zhuàng
2551,熊,4.5,13.自然環境,48,37,85,ㄒㄩㄥˊ,xióng
2552,兄,4.5,核心詞,26,15,41,ㄒㄩㄥ,xiōng
2553,宣布/宣佈,4.5,8.教育、學習,62,73,135,ㄒㄩㄢ ㄅㄨˋ,xuān bù
2554,學會,4.5,核心詞,111,74,185,ㄒㄩㄝˊ ㄏㄨㄟˋ,xué huì
2555,學位,4.5,8.教育、學習,26,7,33,ㄒㄩㄝˊ ㄨㄟˋ,xué wèi
2556,學問,4.5,8.教育、學習,43,25,68,ㄒㄩㄝˊ ㄨㄣˋ,xué wèn
2557,學院,4.5,8.教育、學習,73,22,95,ㄒㄩㄝˊ ㄩㄢˋ,xué yuàn
2558,學者,4.5,8.教育、學習,101,45,146,ㄒㄩㄝˊ ㄓㄜˇ,xué zhě
2559,迅速,4.5,核心詞,75,39,114,ㄒㄩㄣˋ ㄙㄨˋ,xùn sù
2560,壓,4.5,核心詞,40,53,93,ㄧㄚ,yā
2561,牙醫,4.5,7.身體、醫療,6,9,15,ㄧㄚˊ ㄧ,yá yī
2562,鴨子/鴨,4.5,10.餐飲、烹飪,28,27,55,ㄧㄚ ˙ㄗ/ㄧㄚ,yā zi/yā
2563,煙,4.5,核心詞,40,24,64,ㄧㄢ,yān
2564,演出,4.5,4.休閒、娛樂,52,39,91,ㄧㄢˇ ㄔㄨ,yǎn chū
2565,眼光,4.5,核心詞,50,23,73,ㄧㄢˇ ㄍㄨㄤ,yǎn guāng
2566,眼前,4.5,核心詞,96,35,131,ㄧㄢˇ ㄑㄧㄢˊ,yǎn qián
2567,陽光,4.5,13.自然環境,61,84,145,ㄧㄤˊ ㄍㄨㄤ,yáng guāng
2568,羊肉,4.5,10.餐飲、烹飪,4,1,5,ㄧㄤˊㄖㄡˋ,yáng ròu
2569,陽台/陽臺,4.5,2.日常起居,14,16,30,ㄧㄤˊ ㄊㄞˊ,yáng tái
2570,搖,4.5,10.餐飲、烹飪,40,20,60,ㄧㄠˊ,yáo
2571,腰,4.5,7.身體、醫療,62,33,95,ㄧㄠ,yāo
2572,要不是,4.5,核心詞,16,7,23,ㄧㄠˋ ㄅㄨˊ ㄕˋ,yào bú shì
2573,業務,4.5,3.職業,56,11,67,ㄧㄝˋ ㄨˋ,yè wù
2574,醫,4.5,7.身體、醫療,13,35,48,ㄧ,yī
2575,一般來說,4.5,核心詞,15,15,30,ㄧˋ ㄅㄢ ㄌㄞˊ ㄕㄨㄛ,yì bān lái shuō
2576,一帶,4.5,核心詞,48,28,76,ㄧˊ ㄉㄞˋ,yí dài
2577,移動,4.5,核心詞,63,40,103,ㄧˊ ㄉㄨㄥˋ,yí dòng
2578,一方面,4.5,核心詞,65,70,135,ㄧˋ ㄈㄤ ㄇㄧㄢˋ,yì fāng miàn
2579,以來,4.5,核心詞,94,112,206,ㄧˇ ㄌㄞˊ,yǐ lái
2580,姨媽,4.5,1.個人資料,7,3,10,ㄧˊ ㄇㄚ,yí mā
2581,一旁,4.5,5.交通、旅遊,1,0,1,ㄧˋ ㄆㄤˊ,yì páng
2582,一生,4.5,核心詞,103,56,159,ㄧˋ ㄕㄥ,yì shēng
2583,一時,4.5,核心詞,80,20,100,ㄧˋ ㄕˊ,yì shí
2584,一天到晚,4.5,核心詞,7,6,13,ㄧˋ ㄊㄧㄢ ㄉㄠˋ ㄨㄢˇ,yì tiān dào wǎn
2585,一向,4.5,核心詞,67,15,82,ㄧˊ ㄒㄧㄤˋ,yí xiàng
2586,醫學,4.5,7.身體、醫療,76,64,140,ㄧ ㄒㄩㄝˊ,yī xué
2587,一再,4.5,核心詞,55,19,74,ㄧˊ ㄗㄞˋ,yí zài
2588,一陣子,4.5,核心詞,31,32,63,ㄧˊ ㄓㄣˋ ˙ㄗ,yí zhèn zi
2589,銀,4.5,核心詞,36,9,45,ㄧㄣˊ,yín
2590,因此,4.5,核心詞,707,377,1084,ㄧㄣ ㄘˇ,yīn cǐ
2591,引起,4.5,12.安全,144,92,236,ㄧㄣˇ ㄑㄧˇ,yǐn qǐ
2592,因素,4.5,核心詞,129,78,207,ㄧㄣ ㄙㄨˋ,yīn sù
2593,印象,4.5,核心詞,94,117,211,ㄧㄣˋ ㄒㄧㄤˋ,yìn xiàng
2594,音樂家,4.5,4.休閒、娛樂,11,6,17,ㄧㄣ ㄩㄝˋ ㄐㄧㄚ,yīn yuè jiā
2595,應當,4.5,核心詞,26,4,30,ㄧㄥ ㄉㄤ,yīng dāng
2596,嬰兒,4.5,核心詞,108,40,148,ㄧㄥ ㄦˊ,yīng ér
2597,影像,4.5,4.休閒、娛樂,51,53,104,ㄧㄥˇ ㄒㄧㄤˋ,yǐng xiàng
2598,影子/影,4.5,13.自然環境,31,13,44,ㄧㄥˇ ˙ㄗ/ㄧㄥˇ,yǐng zi/yǐng
